DEPTH,APLC,GR,PEF,RHOZ,RLA5,RXOZ,SAND/SHALE
2261.4636,0.2608,53.3619,2.8136,2.2798,1.1831,0.3812,1
2261.616,0.2362,53.3619,2.7028,2.2779,1.1533,0.3535,1
2263.5972,0.278,59.7535,2.5556,2.2843,1.4344,0.4028,1
2263.7496,0.254,57.5176,2.5506,2.2628,1.3505,0.3868,1
2263.902,0.2507,56.5761,2.6617,2.2806,1.3903,0.3843,1
2264.0544,0.2465,59.577,2.8356,2.3203,1.7094,0.4313,1
2264.664,0.2465,95.1466,3.3618,2.4916,3.109,0.7198,0
2264.8164,0.3194,91.7706,3.3555,2.4629,1.7584,0.4759,0
2264.9688,0.3801,92.1237,3.2068,2.414,1.313,0.3458,0
2265.1212,0.3772,89.2993,3.0548,2.3844,1.2048,0.4057,0
2265.2736,0.3703,86.4969,2.981,2.3621,1.2331,0.3332,0
2265.426,0.3947,81.5543,2.9866,2.3511,1.2148,0.2431,0
2265.5784,0.4017,80.1347,3.0137,2.35,1.2528,0.2332,0
2265.7308,0.353,77.7811,3.0287,2.3623,1.259,0.2449,0
2265.8832,0.3609,78.4872,3.0358,2.3585,1.2055,0.2974,0
2266.0356,0.3568,83.2018,3.0093,2.3465,1.2066,0.2867,0
2266.188,0.3435,89.6744,2.9965,2.3515,1.1465,0.3226,0
2266.3404,0.3635,92.5576,3.0334,2.3366,1.2679,0.3542,0
2266.4928,0.3804,87.2619,3.0766,2.3382,1.271,0.3617,0
2266.6452,0.3836,82.3192,3.078,2.3372,1.2702,0.3132,0
2266.7976,0.3569,80.4436,3.0229,2.3442,1.1682,0.2936,0
2266.95,0.3694,82.2089,2.9721,2.3539,1.3159,0.3049,0
2267.1024,0.3496,83.7387,2.9778,2.3738,1.2781,0.3846,0
2267.2548,0.3591,88.9903,3.026,2.4517,1.2247,0.5418,0
2292.096,0.1885,71.1981,2.6858,2.3859,2.7098,0.6765,1
2292.2484,0.18,58.253,2.5061,2.38,2.5622,0.615,1
2292.4008,0.1801,56.3701,2.4116,2.3704,2.1757,0.542,1
2292.5532,0.1848,57.5469,2.3753,2.3464,2.0446,0.485,1
2292.7056,0.2,60.489,2.3762,2.3225,1.9006,0.4511,1
2292.858,0.2026,62.622,2.4132,2.3196,1.9516,0.4311,1
2293.0104,0.1865,62.975,2.4663,2.3403,2.2251,0.4523,1
2293.1628,0.1724,65.0933,2.5046,2.3792,2.6879,0.5153,1
2293.3152,0.1642,63.7841,2.5178,2.4011,2.4446,0.5558,1
2293.4676,0.1814,59.2533,2.4822,2.3865,1.9718,0.5464,1
2293.62,0.1909,55.8405,2.4717,2.3599,1.7717,0.477,1
2322.2712,0.1757,68.9622,2.3904,2.3832,2.378,0.6332,1
2322.4236,0.1838,63.2031,2.3111,2.3761,2.7201,0.6086,1
2322.576,0.1836,58.8488,2.2976,2.3765,2.6274,0.6222,1
2322.7284,0.1728,65.086,2.2941,2.4008,3.2605,0.6879,1
2322.8808,0.1638,76.2585,2.353,2.428,3.5448,0.8049,1
2326.0812,0.179,60.8421,2.3493,2.4094,4.22,1.1546,1
2326.2336,0.1757,45.7787,2.2026,2.3899,2.3303,0.7202,1
2326.386,0.1759,39.8945,2.1049,2.358,2.1221,0.5634,1
2326.5384,0.1808,38.4823,2.0408,2.3405,1.9935,0.5392,1
2326.6908,0.1913,37.8939,2.0443,2.3216,1.8839,0.5192,1
2326.8432,0.1885,34.5988,2.064,2.3122,2.1099,0.5069,1
2326.9956,0.1906,34.0839,2.1072,2.304,2.0122,0.476,1
2327.148,0.1914,37.4967,2.1488,2.3048,1.9065,0.4663,1
2327.3004,0.1912,41.6156,2.1562,2.3169,2.1509,0.466,1
2327.4528,0.1948,46.2494,2.1468,2.3379,2.2362,0.5069,1
2330.196,0.1806,36.8494,1.9971,2.3576,2.3434,0.4826,1
2330.3484,0.1983,37.0848,2.0426,2.3491,1.961,0.4887,1
2330.5008,0.1966,38.6,2.0662,2.348,2.1972,0.5191,1
2330.6532,0.1994,37.0775,2.0551,2.3415,2.1359,0.532,1
2330.8056,0.1851,33.0762,1.9953,2.3328,2.1371,0.4925,1
2330.958,0.1874,28.8397,1.9257,2.3201,1.9105,0.4595,1
2331.1104,0.1878,27.3024,1.8694,2.3128,2.4584,0.4557,1
2331.2628,0.1895,28.2439,1.8581,2.3131,1.6389,0.4149,1
2331.4152,0.1678,27.7732,1.8987,2.3196,1.4172,0.3924,1
2331.5676,0.1708,30.1268,1.9928,2.3377,1.5817,0.3825,1
2331.72,0.1623,32.7158,2.0983,2.3569,1.7202,0.4869,1
2331.8724,0.1674,40.3652,2.1581,2.3824,3.0591,0.6409,1
2332.0248,0.1681,46.5509,2.1689,2.3963,3.0223,0.8046,1
2332.1772,0.1563,49.2576,2.1619,2.393,4.0292,0.8242,1
2332.3296,0.1603,42.8831,2.1488,2.3769,3.1047,0.777,1
2332.482,0.1557,38.7569,2.1103,2.3703,2.6513,0.676,1
2332.6344,0.1651,39.816,2.0755,2.3779,3.1597,0.6273,1
2332.7868,0.1615,48.3088,2.0713,2.3855,3.5958,0.6958,1
